TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
# document_id									
# segment_iiif_link									
G	B-PERS	O					NIL	_	
R	I-PERS	O					NIL	_	
E	I-PERS	O					NIL	_	
E	I-PERS	O					NIL	_	
F	I-PERS	O					NIL	_	
E	I-PERS	O					NIL	_	
.	O	O							
# segment_iiif_link									
1	O	O							
.	O	O							
Le	O	O							
public	O	O							
est	O	O							
averti	O	O							
que	O	O							
Charlotte	B-PERS	O					NIL	_	
née	I-PERS	O					NIL	_	
Bourgoin	I-PERS	O					NIL	_	
,	O	O							
# segment_iiif_link									
femme	O	O							
-	O	O							
de	O	O							
Joseph	B-PERS	O					NIL	_	
Digiez	I-PERS	O					NIL	_	
,	O	O							
et	O	O							
Maurice	B-PERS	O					NIL	_	
Bourgoin	I-PERS	O					NIL	_	
,	O	O							
enfant	O	O							
mineur	O	O							
# segment_iiif_link									
représenté	O	O							
par	O	O							
le	O	O							
sieur	B-PERS	O					NIL	_	
Jaques	I-PERS	O					NIL	_	
Charles	I-PERS	O					NIL	_	
Gicot	I-PERS	O					NIL	_	
son	O	O							
curateur	O	O							
,	O	O							
# segment_iiif_link									
ont	O	O							
été	O	O							
admis	O	O							
par	O	O							
arrêt	O	O							
du	O	O							
Conseil	O	O							
d	O	O							
'	O	O							
Etat	O	O							
du	B-TIME	O					NIL	_	
5	I-TIME	O					NIL	_	
décembre	I-TIME	O					NIL	_	
# segment_iiif_link									
1797	I-TIME	O					NIL	_	
,	O	O							
à	O	O							
solliciter	O	O							
une	O	O							
renonciation	O	O							
générale	O	O							
et	O	O							
absolue	O	O							
# segment_iiif_link									
aux	O	O							
biens	O	O							
et	O	O							
aux	O	O							
dettes	O	O							
présentes	O	O							
et	O	O							
futures	O	O							
de	O	O							
# segment_iiif_link									
Jean	B-PERS	O					NIL	_	
-	I-PERS	O					NIL	_	
Baptiste	I-PERS	O					NIL	_	
Bourgoin	I-PERS	O					NIL	_	
leur	O	O							
pe	O	O							
'	O	O							
re	O	O							
,	O	O							
et	O	O							
qu	O	O							
'	O	O							
en	O	O							
conséquence	O	O							
,	O	O							
les	O	O							
# segment_iiif_link									
susdits	O	O							
enfans	O	O							
,	O	O							
duement	O	O							
assistés	O	O							
et	O	O							
autorisés	O	O							
,	O	O							
se	O	O							
# segment_iiif_link									
présenteront	O	O							
par	O	O							
-	O	O							
devant	O	O							
ia	O	O							
noble	O	O							
justice	O	O							
du	O	O							
Landeron	O	O							
_	O	O							
,	O	O							
le	O	O							
mer	O	O							
-	O	O							
,	O	O							
# segment_iiif_link									
credi	O	O							
17	O	O							
janvier	O	O							
courant	O	O							
,	O	O							
pour	O	O							
y	O	O							
porter	O	O							
la	O	O							
prédite	O	O							
# segment_iiif_link									
renonciation	O	O							
;	O	O							
assignant	O	O							
péremptoirement	O	O							
tous	O	O							
ceux	O	O							
