TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
# language = en
# newspaper = sn83030483
# date = 1790-01-02
# document_id = sn83030483-1790-01-02-a-i0004
# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790010201%2F0004.jp2/527,279,409,29/full/0/default.jpg
FROM	O	O	_	_	_	_	_	_	_
A	O	O	_	_	_	_	_	_	_
VIRGINIA	B-loc	O	_	_	_	_	_	_	_
PAPER	O	O	_	_	_	_	_	_	NoSpaceAfter
.	O	O	_	_	_	_	_	_	EndOfLine|NoSpaceAfter
# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790010201%2F0004.jp2/296,342,708,38/full/0/default.jpg
To	O	O	_	_	_	_	_	_	_
his	O	O	_	_	_	_	_	_	_
EXCELLENCY	O	O	_	_	_	_	_	_	_
the	O	O	_	_	_	_	_	_	_
GOVERNOR	O	O	_	_	_	_	_	_	EndOfLine|NoSpaceAfter
# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790010201%2F0004.jp2/665,385,138,33/full/0/default.jpg
GINIA	O	O	_	_	_	_	_	_	NoSpaceAfter
.	O	O	_	_	_	_	_	_	EndOfLine|NoSpaceAfter
# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790010201%2F0004.jp2/630,429,495,40/full/0/default.jpg
NEW	B-loc	O	_	_	_	_	_	_	NoSpaceAfter
-	I-loc	O	_	_	_	_	_	_	NoSpaceAfter
YORK	I-loc	O	_	_	_	_	_	_	NoSpaceAfter
,	O	O	_	_	_	_	_	_	_
SEPT	B-time	O	_	_	_	_	_	_	NoSpaceAfter
.	I-time	O	_	_	_	_	_	_	_
28	I-time	O	_	_	_	_	_	_	NoSpaceAfter
,	I-time	O	_	_	_	_	_	_	_
1780	I-time	O	_	_	_	_	_	_	NoSpaceAfter
.	O	O	_	_	_	_	_	_	EndOfLine|NoSpaceAfter
# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790010201%2F0004.jp2/374,466,108,34/full/0/default.jpg
SIR	O	O	_	_	_	_	_	_	NoSpaceAfter
,	O	O	_	_	_	_	_	_	EndOfLine|NoSpaceAfter
